질병명,상세 정보
천장 관절 기능 장애,"물리치료는 일반적으로 오랜 시간이 걸리는 회복 과정에 도움이 됩니다. 장시간 앉아 있지 않고, 자주 일어서서 척추를 늘려주고, 골반 안정화 근육을 강화하는 운동을 하는 것이 좋습니다."
천장 관절 기능 장애,치료는 유발 원인을 알고 있는 경우 그 원인을 피하고 통증을 조절하면서 이루어집니다. 국소 진통제는 일반적으로 천장관절의 인대 또는 관절강에 직접 주사합니다. 또한 통증 조절을 강화하기 위해 코르티코스테로이드와 국소 마취제를 주사할 수도 있습니다.
천장 관절 염증 - 천장 관절염,골반의 천골과 장골을 연결하는 천장관절 중 하나 또는 양쪽 관절에 염증이 생기는 것입니다.
천장 관절 염증 - 천장 관절염,"가장 흔한 원인은 심한 타격과 같은 외상으로 인한 것이지만 출산, 다태 임신, 과체중, 다리 비대칭, 척추 측만증 및 척추 유합술로 인해 발생할 수도 있습니다. 강직성 척추염, 척추의 염증성 관절염 또는 건선성 관절염과 같이 관절에 염증을 일으키는 질병과 관련이 있습니다."
천장 관절 염증 - 천장 관절염,"허리 아래쪽이나 엉덩이 부위에 통증이 발생하며 다리와 발 쪽으로 통증이 퍼질 수 있습니다. 아픈 쪽으로 잠을 자거나, 앉거나, 서거나, 아픈 다리에 체중을 싣거나, 계단을 오를 때 통증이 심해집니다."
천장 관절 염증 - 천장 관절염,"임상 문진, 통증을 유발하는 동작을 이용한 신체 검진, 국소 마취제를 주입하여 통증이 가라앉는지 확인하는 진단용 채취 검사를 통해 진단합니다."
천장 관절 염증 - 천장 관절염,"치료에는 골반 근육을 강화하는 물리 치료, 골반 벨트, 국소 고주파 치료 및 마취 관절 주사가 포함됩니다. 보존적 치료에 반응하지 않는 경우에는 천장관절 유합술을 시행합니다."
천포창,피부에 물집과 미란이 생기는 것이 특징인 흔하지 않은 자가면역 질환입니다.
천포창,우리 몸의 면역체계에 대한 이러한 공격을 유발하는 원인은 일반적으로 알려져 있지 않습니다.
천포창,"물집, 가려움증 또는 피부 통증과 같은 증상에 따라 심상성 천포창, 낙엽성 천포창, 증식성 천포창, IgA 천포창, 부신생물성 천포창과 같은 다양한 유형의 천포창을 확인할 수 있습니다."
천포창,진단은 직접면역형광법과 피부 생검을 통해 이루어집니다.
천포창,치료 방법에는 코르티코스테로이드와 때로는 기타 면역억제제 요법이 포함됩니다.
천포창,조기 진단과 치료는 질병의 예후와 경과를 개선해 줍니다.
총담관결석증,간과 담낭에서 장으로 담즙을 운반하는 관에 결석(담석)이 있는 경우입니다.
총담관결석증,결석은 담즙색소 또는 칼슘과 콜레스테롤 염에 의해 형성됩니다.
총담관결석증,"일반적으로 복부 오른쪽 윗부분의 통증, 오심, 구토, 발열, 식욕부진, 황색 피부, 점토색 변 등의 증상이 나타납니다."
총담관결석증,"초기 임상적 의심 후 혈액 검사, 복부 초음파, 내시경역행쓸개이자조영술(ERCP)을 통해 진단을 확진합니다."
총담관결석증,치료는 ERCP로 담석을 제거하거나 경피적 추출이 불가능한 경우 수술적 제거를 통해 이루어집니다.
출혈성 소인,혈액응고 과정의 이상으로 인한 환자의 비정상적인 출혈 소인에 대한 임상 양상입니다.
출혈성 소인,"혈우병, 혈소판 수 저하, 약물, 중증 감염, 간질환 등의 유전적 및 후천적 원인이 밝혀졌습니다."
출혈성 소인,"상처를 통한 자연출혈 또는 통제되지 않는 출혈이 증상으로 나타납니다. 피부의 멍, 코피, 잇몸 출혈, 배뇨 시 출혈 등이 자주 발생합니다."
출혈성 소인,"진단은 병력 확인, 신체 검사 및 혈액검사를 통해 이루어집니다."
출혈성 소인,치료는 유발 요인을 해결하고 출혈 지점을 조절하는 것을 기반으로 이루어집니다.
출혈성 황체낭종,황체는 난포가 파괴되어 난소에서 난자가 배출될 때 형성됩니다. 임신이 되지 않는 경우 황체는 약 10일 후에 즉시 사라집니다.
출혈성 황체낭종,난자를 배출하는 기간 동안 난소의 혈관이 터지거나 황체가 제대로 봉합되지 않으면 혈전이 형성되어 출혈성 낭종이 생길 수 있습니다.
출혈성 황체낭종,"일반적으로 하복부 또는 골반 부위에 매우 강렬하고 극심한 통증이 나타납니다. 경우에 따라 오심, 구토, 빈맥 및 저혈압 증상이 나타날 수 있습니다. 또한 항상 그런 것은 아니지만 생식기에서 출혈이 있을 수 있습니다. 극단적인 경우에는 출혈성 쇼크가 발생할 수 있습니다."
출혈성 황체낭종,"진단은 질경유 초음파를 통해 이루어지며,이를 통해 출혈성 황체를 확인하고 황체의 크기와 위치, 복강 내 혈액의 존재 여부를 파악할 수 있습니다. 헤모글로빈 수치와 응고 상태를 확인하고 임신을 배제하기 위해서는 혈액 검사가 필요합니다."
출혈성 황체낭종,"대부분의 경우 황체는 배란기 후 약 10~12일 후에 사라지며 출혈 물질은 자연적으로 흡수됩니다. 헤모글로빈 수치가 현저히 감소하는 심각한 출혈이 있거나 복통이 매우 심한 경우, 출혈을 조절하고 복강 내 축적된 혈액을 진공 처리로 제거하기 위해 외과적 중재가 필요할 수 있습니다. 환자의 상태에 따라 복강경 수술이 가능한 경우 일반적으로 복강경 수술을 통해 중재적 시술을 시행합니다."
충수염,충수염은 소장과 대장이 만나는 복부의 오른쪽 아래 부분에 위치한 충수라고 하는 소장의 일부에 염증이 생기는 질환입니다.
충수염,"내부 내강이 막혀 압력 증가, 혈류 장애, 허혈로 인한 장벽 손상, 천공 등을 유발합니다."
충수염,"급성 복통, 식욕부진, 오심, 구토, 발열 등의 증상이 나타납니다. 통증은 일반적으로 복부 중간 부분에서 시작하여 오른쪽 아래 부위로 이동합니다."
충수염,임상 문진과 신체 검진을 통해 진단할 수 있습니다. 혈액 배양과 복부 초음파 검사를 통해 확진합니다.
충수염,수술을 통해 맹장을 제거하여 치료할 수 있습니다.
충수염 (소아청소년과),복부의 오른쪽 아래 부분에 있는 충수라고 불리는 소장 일부의 염증입니다. 충수는 대장의 첫 번째 부분에 붙어 있는 작은 주머니 모양 기관입니다.소아 복부 외과적 수술의 가장 흔한 원인입니다.
충수염 (소아청소년과),"내부 내강이 막혀 압력 증가, 혈류 장애, 허혈로 인한 장벽 손상 및 천공을 유발합니다."
충수염 (소아청소년과),"급성 복통, 식욕상실, 오심, 구토, 발열 등의 증상이 나타납니다.어린아이의 경우 불안감과 식욕상실만 나타나는 등 증상이 덜 뚜렷하게 나타날 수 있습니다."
충수염 (소아청소년과),"진단은 임상 문진과 신체 검사를 통해 이루어집니다. 맹장염에 걸릴 위험이 높은지, 보통인지, 낮은지를 나타내는 평가 척도를 사용할 수 있습니다. 진단은 혈액 배양과 복부 스캔을 통해 확진됩니다."
충수염 (소아청소년과),치료는 충수 제거를 포함하는 외과적 수술로 이루어집니다. 증상과 감염 징후에 대한 치료를 지원하는 것이 중요합니다.
충치,하나 이상의 치아가 감염된 것으로 부식이라고 합니다. 선진국 성인 인구의 최대 25%에 영향을 미칩니다.
충치,"치아 표면(플라크)에 서식하고 내부층으로 침투하는 세균에 의해 발생합니다. 유전적 요인, 식생활습관, 구강위생에 따라 달라집니다. 당분이 풍부한 음식은 부식 형성을 촉진합니다."
충치,"처음에는 치아 표면의 질감과 색상의 결함으로 나타나며, 진행되면 심층에 영향을 미치고 통증이 나타납니다. 일반적으로 차갑거나 뜨거운 음식을 섭취하면 통증이 증가합니다."
충치,진단은 문진과 구강 검사를 통해 임상적으로 이루어집니다. 충치의 깊이를 분석하기 위해 치아 X선을 촬영할 수 있습니다.
충치,"초기 치료에는 일반 진통제로 통증을 관리하는 것이 포함됩니다. 치아를 세척하고 복구해야 하며, 대부분의 경우 질병의 확산을 방지하기 위해 항생제 치료를 추가합니다. 병발 정도에 따라 치아의 신경을 죽이거나(근관치료), 가장 심한 경우에는 치아를 발치해야 할 수도 있습니다."
충치,부식을 예방하려면 매일 양치질을 하고 치실을 사용하여 치아 사이의 찌꺼기를 제거하며 치과의사에게 정기적으로 검진을 받는 것이 중요합니다.
측두동맥염 또는 호튼병,머리로 혈액을 운반하는 각종 혈관의 염증으로 인해 발생하는 손상입니다. 이는 포괄적으로 혈관염에 속하는 여러 질병 중 하나입니다. 50세 이상의 환자에게서 나타나며 인구의 1%까지 영향을 미칠 수 있습니다.
측두동맥염 또는 호튼병,"이 질병은 자가면역질환으로 인해 발생하며, 유전되어 발병하는 경향이 있습니다."
측두동맥염 또는 호튼병,"가장 흔한 증상은 박동 두통, 발열, 턱 통증 및 피로, 일시적인 시력 소실입니다."
측두동맥염 또는 호튼병,"이마 측두동맥의 병력, 혈액검사 및 조직검사를 통해 진단됩니다."
측두동맥염 또는 호튼병,코르티코스테로이드와 저용량의 아세틸살리실산(아스피린)으로 치료합니다.
치명적인 만성 동맥  허혈,하지의 동맥이 지속적으로 막히면서 다리에 혈류가 부족해지는 것입니다.
치명적인 만성 동맥  허혈,일반적으로 50세 이상의 사람들에게 나타나며 점차 혈관을 차단하는 죽상경화증이 발생합니다. 혈관이 천천히 막히는 경우 혈류 부족(곁순환)을 보충하려는 새로운 혈관이 나타나게 됩니다.
치명적인 만성 동맥  허혈,"처음에는 걸을 때 다리에 통증이 있다가 나중에는 통증이 영구적으로 나타납니다. 지속적인 혈류 제한으로 인해 피부, 모발, 발톱에 변화가 생깁니다. 매우 심한 경우 피부 궤양을 유발하다가 사지의 괴사 및 괴저로 발전할 수 있습니다."
치명적인 만성 동맥  허혈,"진단은 병력 확인과 신체 검진을 통해 임상적으로 이루어지며, 지속적인 도플러 초음파를 통해 확진할 수 있습니다."
치명적인 만성 동맥  허혈,"치료는 질병의 단계에 따라 달라지므로 항상 조기에 혈관외과의사에게 상담을 받아야 합니다. 초기에는 항혈소판제와 함께 위험 요인을 관리(금연, 혈당 및 혈압 조절, 비만 방지, 콜레스테롤이 풍부한 음식 섭취 조절, 매일 운동 등)하면 충분히 치료할 수 있습니다. 좀 더 진행된 단계에서는 침습적 조치(혈관 성형술, 우회술)가 필요합니다."
치아 농양,치아 감염으로 인해 잇몸에 고름이 고이는 것입니다.
치아 농양,가장 흔한 원인은 충치이지만 치아를 둘러싸고 지탱하는 조직의 외상이나 감염으로 인해 발생할 수도 있습니다.
치아 농양,음식이나 음료를 섭취할 때 또는 온도 변화에 따라 입안의 한 부위에 통증이 심해지는 증상이 나타납니다. 얼굴 한쪽과 림프절에 염증이 생기며 심한 경우 열이 날 수 있습니다.
치아 농양,"임상 문진과 치아, 잇몸, 입, 목을 면밀히 검사하여 진단한 후 진통제로 통증을 완화하고 항생제로 감염을 치료하는 것이 치료의 첫 번째 목표입니다. 이후 단계에서는 치아의 생존 가능 여부에 따라 근관 치료 또는 발치를 시행합니다."
치아 농양 (소아청소년과),"잇몸에 고름이 모인 것으로, 치아 감염으로 인해 이차적으로 발생합니다."
치아 농양 (소아청소년과),가장 흔한 원인은 충치입니다.
치아 농양 (소아청소년과),음식을 씹거나 음료를 섭취할 때 온도 변화에 따라 입의 한 부위에 통증이 나타납니다. 심한 경우 안면 한쪽이나 림프절에 염증이 생기고 열이 날 수 있습니다.
치아 농양 (소아청소년과),"치아, 잇몸, 입과 목에 정밀 검사를 실시하여 진단합니다."
치아 농양 (소아청소년과),우선 통증을 줄이기 위해 진통제를 투여하고 감염을 방지하기 위해 항생제 치료를 실시합니다. 이후에는 근관치료 또는 발치를 실시합니다.
치은염 및 치주염,치은염은 잇몸에 염증이 생기는 것을 말합니다. 치아를 고정하는 뼈가 손상되는 경우 이를 치주염이라고 합니다.
치은염 및 치주염,"두 증상의 주요 원인은 치석을 형성하는 치태(세균과 잔류물)가 축적되는 것입니다. 기타 요인으로는 치아 위생 불량, 임신, 당뇨병, 특정 약물 복용 등이 있습니다."
치은염 및 치주염,"이 염증은 선명한 빨간색을 띠며 저온에 민감하고 출혈을 일으키기 쉽습니다. 치주염은 구취를 유발하고, 조직이 파괴되어 치아가 약해져 빠질 수 있습니다."
치은염 및 치주염,"진단은 환자의 증상에 따라 이루어지며, X선 검사를 통해 골 소실 여부를 평가할 수 있습니다."
치은염 및 치주염,치료를 통해 염증이 감소하고 감염 및 위생 상태가 개선됩니다. 따뜻한 물과 소금으로 헹구면 잇몸의 염증을 줄이는 데 도움이 될 수 있습니다.
치은염 및 치주염,"합병증이 나타나기 전에 치과의사, 구강악안면외과 전문의에게 진료를 받아야 합니다."
치질 - 치질 질환,"치질은 소화관, 직장 및 항문 말단의 정맥에 염증이 생기는 질환입니다. 20세 이상, 주로 45~65세 사이의 사람들에게 나타날 수 있는 질환입니다."
치질 - 치질 질환,"주요 원인으로는 변을 보기 위해 과하게 힘을 쓰는 것, 변비, 비만, 임신, 노화, 변비약 과다 복용, 설사, 직업적 요인 등이 있습니다."
치질 - 치질 질환,"직장 작열감, 통증, 배변 시 경미한 출혈, 지속적인 항문 습기, 항문에서 무언가 돌출된 듯한 느낌 등의 증상이 나타납니다."
치질 - 치질 질환,진단은 문진과 항문 검사를 통해 임상적으로 이루어집니다. 내부 진단인 경우 카메라를 이용한 진단 검사를 통해 진단을 확진할 수 있습니다.
치질 - 치질 질환,"치료 방법에는 항문 위생 관리(과도하게 문지르지 않기), 좌욕, 섬유질이 풍부한 음식 섭취, 비활동적 생활양식, 비만 및 일부 음식 피하기 등이 포함됩니다. 통증이 심하거나 출혈이 심한 경우에는 외과적 치료가 필요할 수 있습니다. 자극적인 음식, 조미료, 양파, 토마토 소스, 커피, 초콜릿, 홍차, 알코올 등 일부 음식은 피해야 합니다."
치쿤구니야,모기에 물려 전염되는 바이러스에 의해 발생하는 질병입니다. 모기가 번식하는 고인 물 근처의 온난한 기후에서 발생합니다. 주로 아프리카와 아시아 지역에서 발생하는 질병입니다.
치쿤구니야,"3~5일 동안 고열이 지속되고 피부에 붉은 반점이 생기며 원위 관절 부위(손, 손목, 발목)에 매우 심하고 장애를 일으킬 정도의 통증으로 나타납니다. 수개월에 걸친 간헐적 발병으로 진행됩니다."
치쿤구니야,"진단은 문진과 신체 검진을 통해 임상적으로 이루어지며,실험실에서 혈액 배양을 통해 확진합니다."
치쿤구니야,특정한 치료법이나 백신은 없으며 통증과 발열 증상을 완화할 뿐입니다. 가장 좋은 예방법은 모기 전염병에 걸리거나 모기에 물리지 않도록 관리하는 것입니다.
치쿤구니야,응급 상황은 아니지만 증상이 지속되면 의사의 진찰을 받아야 합니다.
꼬리뼈 외상,외력이나 에너지의 작용으로 인해 척추의 마지막 척추뼈에 의해 형성된 뼈인 꼬리뼈에 손상을 입은 경우입니다.
꼬리뼈 외상,가장 흔한 원인은 딱딱한 표면에서 넘어지는 경우입니다.
꼬리뼈 외상,허리에 통증이 발생하고 멍이 생깁니다. 앉아있을 때 통증이 특히 심해집니다.
꼬리뼈 외상,진단은 에피소드에 대한 문진과 신체 검진을 통해 임상적으로 이루어집니다. 일반적으로 뼈 손상 정도를 파악하기 위해 척추 X선을 추가로 진행합니다.
꼬리뼈 외상,치료는 일반적인 진통제로 통증을 조절하고 간접적인 국소 냉찜질과 항염증제로 멍과 부기를 줄이는 것을 기본으로 합니다. 쿠션이나 공기주입식 고무 링 쿠션을 사용하여 앉는 것이 좋습니다. 배변 시 통증이 심해지면 딱딱한 변을 보지 않도록 섬유질이 포함된 음식을 섭취하거나 완하제를 복용해야 합니다.
꼬리뼈 외상,어느 순간 다리를 움직일 수 없거나 통증이 매우 심하고 나아지지 않으면 응급실에 가는 것이 좋습니다.
꼬리뼈 탈구,미골의 탈구는 천골과 미골을 연결하는 인대가 늘어나면서 천골과 미골이 분리되는 것입니다.
꼬리뼈 탈구,가장 흔한 원인은 낙상 후와 출산 중의 직접적인 충격입니다.
꼬리뼈 탈구,꼬리뼈 부위에 매우 심한 통증이 나타납니다. 일반적으로 압력이 가해지거나 딱딱한 표면에 앉아있을 때 통증이 더 심해집니다.
꼬리뼈 탈구,진단은 해당 부위의 병력 확인과 신체 검진을 통해 이루어집니다.
꼬리뼈 탈구,진통제 또는 항염증제를 사용하여 치료할 수 있습니다. 중앙에 구멍이 뚫린 쿠션이나 부낭을 사용하여 앉은 상태에서 꼬리뼈에 직접적인 압력이 가해지지 않도록 할 수도 있습니다. 극심하고 지속적인 통증이 있거나 정상적인 생활에 제한을 주는 통증이 있는 경우에는 외과적 치료를 고려해야 합니다.
나병,"피부 병변, 근육 약화, 신경 손상 등을 일으키는 만성 감염병입니다."
나병,기침이나 재채기를 할 때 공기 중으로 방출되는 비말을 통해 사람 간에 전염되는 세균이 원인입니다. 일반적으로 신체의 면역 반응이 일어나 세균과 싸워 질병이 발생하지 않도록 하기 때문에 드물게 발생합니다.
나병,"피부 병변(다양한 크기의 융기, 궤양), 신경 손상 및 근육 약화로 인한 팔과 다리의 무감각 또는 병적인 증상이 나타납니다. 더 진행된 경우 치료하지 않으면 사지가 변형되고 머리카락이 빠지며 입과 코의 점막이 손실되고 변형이 일어나 신체적 악화로 이어질 수 있습니다."
나병,"진단은 피부 변화를 확인하고, 사지의 감각 소실 여부 확인 등 일반적인 신체 검진을 통해 이루어집니다. 피부 병변의 조직검사를 통해 진단할 수 있습니다."
나병,"치료는 여러 항생제를 조합한 방식으로 이루어지며, 대부분의 경우 질병의 진행을 늦추고 치료할 수 있습니다. 조기에 치료를 시작하면 효과가 개선되는 것으로 밝혀졌으므로 조기에 치료를 시작하는 것이 매우 중요합니다. 환자가 치료를 받으면 전염성은 더 이상 없습니다. 치료 중이 아닌 나병 환자와 접촉한 적이 있다면, 의사 진료를 받으시기 바랍니다."
난관 염증 - 난관염,난관염은 나팔관에 염증이 생기는 골반 염증 질환의 일종입니다.
난관 염증 - 난관염,질이나 자궁경부의 세균 감염에 의해 발생합니다. 감염 된 후 증상이 나타나는 데는 며칠에서 몇 달까지 걸릴 수 있습니다.
난관 염증 - 난관염,"가장 특징적인 증상은 골반 부위의 통증입니다. 다른 증상으로는 비정상적인 걸쭉한 질 분비물, 배란통, 성관계 시 불쾌감 또는 성교통, 발열, 오심 및 구토, 불규칙한 생리, 배뇨 시 통증(요도 염증이 동반된 경우), 질염 및 골반 부위의 경련 등이 나타날 수 있습니다."
난관 염증 - 난관염,"진단은 병력 확인과 부인과적 검사를 통해 이루어집니다. 통증을 완화하기 위해 항생제와 항염증제를 사용하여 치료합니다. 파트너도 항생제 치료를 받아야 하며, 치료를 받은 후 1주일이 지날 때까지는 성관계를 피하는 것이 좋습니다. 심각한 경우에는 외과적 치료가 필요할 수 있습니다."
난소 과다자극 증후군,"난소 과다자극 증후군은 호르몬 생산 증가로 인해 난소가 과도한 자극을 받아 발생하는 질환으로, 인공 수정 및 시험관 아기시술에 사용되는 약물과 직접적인 관련이 있습니다."
난소 과다자극 증후군,난포 형성을 자극하기 위해 투여되는 호르몬이 난소 크기를 비대하게 하고 통증을 유발할 수 있으며 복부에 체액이 축적될 수도 있습니다.
난소 과다자극 증후군,난소 과다자극 증후군의 주요 위험인자는 다음과 같습니다.
난소 과다자극 증후군,"증상은 경미하지만 임신이 이루어진 경우 시간이 지남에 따라 악화될 수 있습니다. 일반적으로 통증이나 복부 부종, 오심또는 구토 증상이 나타납니다."
난소 과다자극 증후군,더 심각한 단계에서는 통증이 심해지고 복부가 팽창하며 호흡이 어려워지고 혈액 응고 문제도 발생할 수 있습니다.
난소 과다자극 증후군,"정확한 진단을 위해서는 부인과 자궁경검사, 혈액검사, 질초음파 검사를 받아야 합니다."
난소 과다자극 증후군,"경도의 난소 과다자극 증후군은 1~2주 내에 자연적으로 호전될 수 있습니다. 중상이 심할 경우에는 약물 복용이 필요하거나 입원을 해야 할 수도 있습니다. 예외적으로 난소에 합병증(난소염전, 낭종 파열, 출혈 등)이 동반된 경우에는 수술이 필요할 수 있습니다."
난소 염전 - 자궁 부속기 염전,"난소 염전은 난소와 나팔관이 뒤틀리면서 난소의 혈액 관류를 담당하는 난소동맥과 정맥이 엉켜 발생합니다. 결과적으로 혈액 관류가 완전히 또는 부분적으로 중단되어 난소 세포가 점진적으로 죽게 되며, 꼬인 증상이 장기간(몇 시간 또는 며칠) 지속되면 난소를 파열 될 수도 있습니다."
난소 염전 - 자궁 부속기 염전,난소 종괴가 있는 여성은 대부분 단순 낭종이나 다른 유형의 양성 종양으로 인해 난소 무게가 정상보다 더 무거운 경향이 있습니다. 또한 난소염전이 발생했던 여성은 같은 난소 또는 반대쪽 난소에서 재발할 가능성이 더 높습니다.
난소 염전 - 자궁 부속기 염전,"증상으로는 오심, 구토 및 발열과 함께 하복부에 강한 돌발성 복부통증이 발생하며, 시간이 지남에 따라 강도가 점점 심해질 수 있습니다."
난소 염전 - 자궁 부속기 염전,"진단은 임상 문진과 초음파 검사를 통해 이루어집니다. 일부의 경우에는 이 검사만으로는 충분하지 않아 난소를 직접 모니터링하고 최종 진단에 도달하기 위해 복강경검사라는 시술이 필요합니다. 동시에 복강경수술은 난소 염전에 대한 치료법이 되며, 꼬인 것을 푸는 것이 가능한 상태일 경우라면 난소를 보존합니다. 난소 낭종이나 양성 종양이 관찰되면 제거 목적으로 중재적시술을 시행할 수 있습니다."
난소낭종,난소 낭종은 난소 내부에 체액이나 조직이 축적된 것을 의미합니다. 일반적으로 가임기 여성에게 매우 빈번하게 나타나지만 폐경 후에도 나타날 수 있습니다.
난소낭종,다양한 분류가 있지만 낭종의 원인에 따라 기능적 원인의 낭종과 기질적 원인의 낭종의 두 그룹으로 구분하는 경우가 많습니다.
난소낭종,가장 흔한 원인은 기능적 원인으로 배란 과정의 변화로 나타납니다. 완전히 양성이며 매우 빈번하게 발생하고 저절로 사라집니다. 낭종은 다음과 같이 구분할 수 있습니다.
난소낭종,난소의 일부 조직에서 비정상적으로 커지면서 발생하여 자연히 저절로 사라지는 유기 낭종이라는 유형도 있습니다. 내용물에 따라 다음과 같이 분류됩니다.
난소낭종,난소 낭종 진단은 부인과 초음파 검사를 통해 이루어지지만 때로는 낭종의 유형을 감별하기 위해 MRI 또는 CT검사가 필요할 수도 있습니다. 특정 표지자를 연구하기 위한 혈액 검사도 진단에 도움이 될 수 있습니다.
난소낭종,"난소 낭종은 일반적으로 대부분 6~7주 정도 지나면 저절로 사라지며, 가벼운 증상만 나타나기 때문에 치료가 특별히 필요하지 않습니다. 그러나 낭종이 지속되거나 이로 인해 출혈이나 난소 염전이 발생하는 등 합병증이 발생하면 수술이 필요할 수 있습니다. 이 경우에는 낭종을 제거하거나 난소 전체를 제거할 수도 있습니다."
난소낭종,경구 피임약은 난포가 자라지 못하도록 하기 때문에 기능적 낭종의 형성을 방지하는 데 도움이 될 수 있습니다.
난소암,여성 호르몬이 생성되는 난소에 생기는 암입니다. 악성화 정도와 세포 유형에 따라 다음과 같은 세 가지 유형으로 난소암을 구분할 수 있습니다.
난소암,"폐경 후 여성에게 더 흔하게 발생하며, 50~75세 여성에게 많이 발병합니다."
난소암,"원인은 알려져 있지 않지만 호르몬, 환경 및 유전적 요인(BRCA1 및 BRCA2 유전자)이 발병과 연관이 있다고 알려져 있습니다. 경구피임약을 복용하는 여성은 유방암과 난소암 위험이 줄어듭니다."
난소암,"일반적으로 증상은 거의 나타나지 않으며, 특별한 증상 없이 암이 진행된 단계일 수 있습니다. 가장 흔한 증상으로는 복부 불편감, 팽만감, 변비, 허리통증 및 성관계 중 통증이 있습니다."
난소암,"난소암이 의심되는 경우 부인과 검사를 포함한 상세한 신체 검진을 진행합니다. CA 125 종양 표지자를 포함한 혈액검사, 부인과 초음파 및 복부 CT 스캔을 실시할 수 있습니다. 정확한 진단과 암의 진행 단계를 확인하기 위해서는 조직 검사를 시행해야 합니다."
난소암,"치료 방법은 난소암의 유형과 병기에 따라 결정되며, 수술이 고려됩니다. 수술과 함께 항암치료 요법, 항혈관신생 치료, PARP 억제제(올라파립, 니라파립, 루카파립) 치료와 같은 보조 치료가 이루어질 수 있습니다."
낫적혈구 빈혈 - 겸상 적혈구병 (소아청소년과),"혈액 내 적혈구가 변형되어 반달 모양으로 변해 혈액 순환을 방해하고 미세경색, 용혈 및 빈혈을 일으키는 상태를 말합니다."
낫적혈구 빈혈 - 겸상 적혈구병 (소아청소년과),유전적으로 발생하는 질병입니다.
낫적혈구 빈혈 - 겸상 적혈구병 (소아청소년과),"일반적으로 생후 4개월까지는 아무런 증상이 나타나지 않습니다. 대부분의 겸상 적혈구 빈혈 환자는 갑작스럽게 통증성 위기 증상이 나타나며, 이는 몇 시간에서 며칠까지 지속될 수 있습니다. 위기 증상으로 등 하부, 다리, 관절 통증 및 흉통이 발생합니다. 상태가 더 심해지면 피로, 복통, 창백함, 빠른 심박수, 숨 가쁨, 노랗게 변하는 눈과 피부(황달), 발기 시 통증 및 지속발기(지속발기증), 시력 저하 또는 실명, 사고력 장애, 경미한 뇌졸중으로 인한 착란 및 다리 궤양 등의 증상이 나타날 수 있습니다."
낫적혈구 빈혈 - 겸상 적혈구병 (소아청소년과),"진단은 임상 문진과 신체 검진, 혈액 검사를 통해 이루어집니다."
낫적혈구 빈혈 - 겸상 적혈구병 (소아청소년과),"치료의 목표는 증상을 관리하고 조절하며, 발작의 횟수를 줄이는 것입니다. 겸상 적혈구 빈혈의 치료로는 수혈(뇌졸중 예방을 위해 정기적으로 수혈할 수 있음), 진통제 복용, 다량의 수액 투여를 합니다. 합병증이 발생할 경우 침습적 치료가 필요합니다."
낭성섬유증 (소아청소년과),"폐, 소화관, 기타 신체 부위에 진득하고 끈적한 점액이 쌓이는 질환입니다."
낭성섬유증 (소아청소년과),"유전병이며, 어린이와 청소년에게 가장 흔하게 발생하는 만성 폐 질환 유형 중 하나입니다."
낭성섬유증 (소아청소년과),"증상으로는 성장지연, 체중 증가 불능, 피부의 짠맛, 복통, 변비, 오심, 대변, 기침, 부비동이나 폐의 점액 증가, 피로감, 코폴립으로 인한 코울혈, 폐렴 재발 등이 있습니다."
낭성섬유증 (소아청소년과),"진단을 위해서는 자세한 병력, 완전한 신체 검사, 일반 및 특정 혈액검사, 땀 검사, CT 스캔 또는 흉부 X선 검사, 분변 지방 검사, 폐 기능 시험, 위내시경 검사 등의 추가 검사가 필요합니다."
낭성섬유증 (소아청소년과),"치료는 일반적인 증상 조절을 기반으로 진행됩니다. 환자의 삶의 질을 개선하기 위해서는 진득한 점액과 감염으로 인한 폐 손상을 치료하는 것이 필수적입니다. 만성 및 급성 감염의 치료를 위해 정맥내, 흡입 및 경구 항생제를 투여합니다. 다른 것들은 인슐린을 통한 당뇨병 치료와 효소 대체를 통한 췌장 질환 치료와 관련이 있습니다. 또한 이 질환과 관련된 일부 증상을 해결하기 위해 이식 및 유전자치료와 같은 다양한 절차의 효능이 제시됩니다. 건강한 식사, 운동량 증가, 항생제를 통한 적극적인 치료를 실시함으로써 이 질병을 앓고 있는 사람들의 기대수명이 늘어나고 있습니다."
내장리슈만편모충증 - 칼라아잘,"리슈만편모충에 속하는 원충에 의해 발생하는 감염병입니다. 인도에서는 이 질병에 걸리면 피부가 회색으로 변색되기 때문에 칼라아자르(Kala-azar)라고도 불립니다.주로 인도, 아프가니스탄, 브라질, 콜롬비아, 이라크, 파키스탄 및 동아프리카 지역에서 발생합니다."
내장리슈만편모충증 - 칼라아잘,"인간과 다양한 동물 종, 특히 개에게 증상이 나타납니다. 모기에 물려 전염되며 물린 후 증상 발현까지의 잠복기는 몇 주에서 몇 달까지 다양합니다.HIV 면역 결핍 환자에게 감염 사례가 증가한 것으로 보고되었습니다."
내장리슈만편모충증 - 칼라아잘,"2~8주 동안 지속되는 발열, 피로 및 전신병감이 나타납니다. 설사, 식욕부진, 근육통, 기침이 동반될 수 있습니다. 열감이 사라진 후에도 발열과 비대비장, 비대 간, 갈색 피부가 남을 수 있습니다. 치료를 시작하지 않으면 임상 양상이 악화되어 혈액세포 수가 감소하여 빈혈, 출혈, 방어작용 저하, 피부 부종으로 이어질 수 있습니다. 심한 경우 감염자가 사망할 수도 있습니다."
